Corrected Customer Question,Corrected Frappe Query
"Help me access Advance Payment Entry records that have an Active status, along with task_status and project_name.","frappe.get_all(""Advance Payment Entry"", filters={""status"": ""Active""}, fields=[""task_status"", ""project_name""])"
"Can you provide details of approved leave requests from the HR department that have the the leave dates fall between January 1, 2023, and December 31, 2023. Include employee_name, leave_type, and status, sorted by earliest from_date first.","frappe.get_all(""Leave Application"", filters={""department"": ""HR"", ""status"": ""Approved"", ""from_date"": ["">="", ""2023-01-01""], ""to_date"": [""<="", ""2023-12-31""]}, fields=[""employee_name"", ""leave_type"", ""status""], order_by=""from_date asc"")"
"Can you I'd like to see information on approved Sales Contract Agreement records that have the capacity marked as more than 5000 and the location marked as Los Angeles? Show name, capacity, and location, ordered by capacity from highest to lowest, with a limit of 20 records.","frappe.get_all(""Sales Invoice"", filters={""status"": ""Approved"", ""capacity"": ["">"", 5000], ""location"": ""Los Angeles""}, fields=[""name"", ""capacity"", ""location""], order_by=""capacity desc"", limit=20)"
Showcase data for Event Attendance Directorys that are currently Active and include status and vehicle_type.,"frappe.get_all(""Address Directory"", filters={""status"": ""Active""}, fields=[""status"", ""vehicle_type""])"
"Provide all Quality Inspection records with an Active status, including project_name and expense_amount.","frappe.get_all(""Quality Inspection"", filters={""status"": ""Active""}, fields=[""project_name"", ""expense_amount""])"
Provide all Advance Payment Entry records whose journal_entry_type marked  as value_176.,"frappe.get_all(""Advance Payment Entry"", filters={""journal_entry_type"": ""value_176""})"
"Display Stock Entry records whose status marked as Active, with details of currency and customer_name.","frappe.get_all(""Stock Entry"", filters={""status"": ""Active""}, fields=[""currency"", ""customer_name""])"
"I need to see Cash Flow Statement records that have status marked as Paid and customer_name marked as greater than 5000, including currency, pricing_rule_type, and customer_name, ordered by creation in descending order.","frappe.get_all(""Cash Flow Statement"", filters={""status"": ""Paid"", ""customer_name"": ["">"", 5000]}, fields=[""currency"", ""pricing_rule_type"", ""customer_name""], order_by=""creation desc"")"
"Give me Stock Entry records which include status marked as Paid and company marked as greater than 12, including pricing_rule_type, status, and company, ordered by creation in descending order.","frappe.get_all(""Stock Entry"", filters={""status"": ""Paid"", ""company"": ["">"", 12]}, fields=[""pricing_rule_type"", ""status"", ""company""], order_by=""creation desc"")"
"Fetch Bonus Calculation records that have the status having Paid and currency having greater than 3900, along with invoice_date, stock_uom, and currency, ordered by creation in descending order.","frappe.get_all(""Bonus Calculation"", filters={""status"": ""Paid"", ""currency"": ["">"", 3900]}, fields=[""invoice_date"", ""stock_uom"", ""currency""], order_by=""creation desc"")"
