Customer Question,Frappe Query
task doc for status 'unique_value'?,"doc = frappe.get_doc(""Task"", filters={""status"": ""12345""})
print(doc)"
Get course where duration 'unique_value' from this year?,"doc = frappe.get_doc(""Course"", filters={""duration"": ""Open"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
"Hey, need patient for gender 'test_value' this year?","doc = frappe.get_doc(""Patient"", filters={""gender"": ""Premium"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
Can you fetch the batch record where batch_id is 'sample_value' and created this year?,"doc = frappe.get_doc(""Batch"", filters={""batch_id"": ""sample_value"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
Can you fetch the work order record where status is 'sample_value' and created this year?,"doc = frappe.get_doc(""Work Order"", filters={""status"": ""sample_value"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
Retrieve the subscription document where subscription_id is 'unique_value'.,"doc = frappe.get_doc(""Subscription"", filters={""subscription_id"": ""Retail""})
print(doc)"
Can u pull fleet management doc for model 'sample_value'?,"doc = frappe.get_doc(""Fleet Management"", filters={""model"": ""sample_value""})
print(doc)"
Retrieve the batch document where item_code is 'sample_value'.,"doc = frappe.get_doc(""Batch"", filters={""item_code"": ""sample_value""})
print(doc)"
Get campaign where campaign_name 'new_unique_value' from this year?,"doc = frappe.get_doc(""Campaign"", filters={""campaign_name"": ""new_Open"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
Can u pull vital signs doc for pulse 'sample_value'?,"doc = frappe.get_doc(""Vital Signs"", filters={""pulse"": ""sample_value""})
print(doc)"
Can you fetch the student record where batch is 'test_value' and created this year?,"doc = frappe.get_doc(""Student"", filters={""batch"": ""Premium"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
Get sales invoice where due_date 'sample_value' from this year?,"doc = frappe.get_doc(""Sales Invoice"", filters={""due_date"": ""sample_value"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
Could you retrieve the warehouse record with ID 'DOC-7777'?,"doc = frappe.get_doc(""Warehouse"", ""DOC-7777"", {""membership_type"": ""Premium"", ""subscription_status"": ""Active""})
print(doc, {""membership_type"": ""Premium"", ""subscription_status"": ""Active""})"
appointment doc appointment_id 'test_value' this year?,"doc = frappe.get_doc(""Appointment"", filters={""appointment_id"": ""Active"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
permit application doc for status 'sample_value'?,"doc = frappe.get_doc(""Permit Application"", filters={""status"": ""sample_value""})
print(doc)"
Can you fetch the job applicant record where email is 'latest_unique_value' and created this year?,"doc = frappe.get_doc(""Job Applicant"", filters={""email"": ""latest_Retail"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
job card doc for workstation 'new_unique_value'?,"doc = frappe.get_doc(""Job Card"", filters={""workstation"": ""new_Open""})
print(doc)"
Can you fetch the item record where item_group is 'unique_value' and created this year?,"doc = frappe.get_doc(""Item"", filters={""item_group"": ""Open"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
Can u pull opportunity doc for amount 'test_value'?,"doc = frappe.get_doc(""Opportunity"", filters={""amount"": ""5000""})
print(doc)"
Can u pull permit application doc for approval_date 'last_unique_value'?,"doc = frappe.get_doc(""Permit Application"", filters={""approval_date"": ""last_Open""})
print(doc)"
Retrieve the bom document where rate is 'unique_value'.,"doc = frappe.get_doc(""BOM"", filters={""rate"": ""12345""})
print(doc)"
Retrieve the leave application document where reason is 'unique_value'.,"doc = frappe.get_doc(""Leave Application"", filters={""reason"": ""High""})
print(doc)"
"Hey, need payroll entry for total_salary 'unique_value' this year?","doc = frappe.get_doc(""Payroll Entry"", filters={""total_salary"": ""North"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
Retrieve the warehouse document where company is 'sample_value'.,"doc = frappe.get_doc(""Warehouse"", filters={""company"": ""sample_value""})
print(doc)"
"Hey, need batch for manufacture_date 'new_unique_value' this year?","doc = frappe.get_doc(""Batch"", filters={""manufacture_date"": ""new_Retail"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
Get journal entry where voucher_type 'latest_unique_value' from this year?,"doc = frappe.get_doc(""Journal Entry"", filters={""voucher_type"": ""latest_12345"", ""creation"": [""between"", [""2025-01-01"", ""2025-12-31""]]})
print(doc)"
Retrieve the warehouse document where parent_warehouse is 'sample_value'.,"doc = frappe.get_doc(""Warehouse"", filters={""parent_warehouse"": ""sample_value""})
print(doc)"
Can u pull stock entry doc for to_warehouse 'sample_value'?,"doc = frappe.get_doc(""Stock Entry"", filters={""to_warehouse"": ""sample_value""})
print(doc)"
