Corrected Customer Question,Corrected Frappe Query,Query Complexity
"I need the lead_name for Lead, can you fetch that?","frappe.db.get_single_value(""Lead"", ""lead_name"")",Simple
What is the source for the Lead?,"frappe.db.get_single_value(""Lead"", ""source"")",Moderate
Can you get the status from Lead?,"frappe.db.get_single_value(""Lead"", ""status"")",Simple
"I need the email for Lead, can you fetch that?","frappe.db.get_single_value(""Lead"", ""email"")",Simple
What is the phone for the Lead?,"frappe.db.get_single_value(""Lead"", ""phone"")",Simple
"Hey, what's the opportunity_name for the Opportunity?","frappe.db.get_single_value(""Opportunity"", ""opportunity_name"")",Simple
Give me the customer from Opportunity.,"frappe.db.get_single_value(""Opportunity"", ""customer"")",Moderate
Can you get the amount from Opportunity?,"frappe.db.get_single_value(""Opportunity"", ""amount"")",Simple
Please tell me the status for Opportunity.,"frappe.db.get_single_value(""Opportunity"", ""status"")",Simple
"Hey, what's the closing_date for the Opportunity?","frappe.db.get_single_value(""Opportunity"", ""closing_date"")",Moderate
Give me the first_name from Contact.,"frappe.db.get_single_value(""Contact"", ""first_name"")",Simple
What is the last_name for the Contact?,"frappe.db.get_single_value(""Contact"", ""last_name"")",Simple
"I need the email_id for Contact, can you fetch that?","frappe.db.get_single_value(""Contact"", ""email_id"")",Simple
Can you let me know the phone for the Contact?,"frappe.db.get_single_value(""Contact"", ""phone"")",Simple
Can you let me know the designation for the Contact?,"frappe.db.get_single_value(""Contact"", ""designation"")",Moderate
Give me the customer_name from Customer.,"frappe.db.get_single_value(""Customer"", ""customer_name"")",Simple
Give me the customer_group from Customer.,"frappe.db.get_single_value(""Customer"", ""customer_group"")",Moderate
What is the territory for the Customer?,"frappe.db.get_single_value(""Customer"", ""territory"")",Complex
What is the tax_id for the Customer?,"frappe.db.get_single_value(""Customer"", ""tax_id"")",Complex
Can you get the mobile_no from Customer?,"frappe.db.get_single_value(""Customer"", ""mobile_no"")",Moderate
"Hey, what's the order_id for the Sales Order?","frappe.db.get_single_value(""Sales Order"", ""order_id"")",Complex
"Hey, what's the customer for the Sales Order?","frappe.db.get_single_value(""Sales Order"", ""customer"")",Moderate
Could you retrieve the order_date from Sales Order?,"frappe.db.get_single_value(""Sales Order"", ""order_date"")",Moderate
Could you retrieve the total from Sales Order?,"frappe.db.get_single_value(""Sales Order"", ""total"")",Moderate
"I need the status for Sales Order, can you fetch that?","frappe.db.get_single_value(""Sales Order"", ""status"")",Simple
"I need the delivery_date for Sales Order, can you fetch that?","frappe.db.get_single_value(""Sales Order"", ""delivery_date"")",Moderate
What is the quotation_id for the Quotation?,"frappe.db.get_single_value(""Quotation"", ""quotation_id"")",Moderate
Give me the valid_till from Quotation.,"frappe.db.get_single_value(""Quotation"", ""valid_till"")",Moderate
Can you let me know the items for the Quotation?,"frappe.db.get_single_value(""Quotation"", ""items"")",Moderate
"I need the customer for Quotation, can you fetch that?","frappe.db.get_single_value(""Quotation"", ""customer"")",Moderate
"I need the grand_total for Quotation, can you fetch that?","frappe.db.get_single_value(""Quotation"", ""grand_total"")",Moderate
Give me the terms_and_conditions from Quotation.,"frappe.db.get_single_value(""Quotation"", ""terms_and_conditions"")",Moderate
"I need the campaign_name for Campaign, can you fetch that?","frappe.db.get_single_value(""Campaign"", ""campaign_name"")",Simple
What is the start_date for the Campaign?,"frappe.db.get_single_value(""Campaign"", ""start_date"")",Moderate
Give me the end_date from Campaign.,"frappe.db.get_single_value(""Campaign"", ""end_date"")",Moderate
"I need the budget for Campaign, can you fetch that?","frappe.db.get_single_value(""Campaign"", ""budget"")",Moderate
What is the status for the Campaign?,"frappe.db.get_single_value(""Campaign"", ""status"")",Simple
Can you get the invoice_number from Sales Invoice?,"frappe.db.get_single_value(""Sales Invoice"", ""invoice_number"")",Moderate
Give me the customer from Sales Invoice.,"frappe.db.get_single_value(""Sales Invoice"", ""customer"")",Moderate
Can you let me know the invoice_date for the Sales Invoice?,"frappe.db.get_single_value(""Sales Invoice"", ""invoice_date"")",Moderate
