Corrected Customer Question,Corrected Frappe Query
"Help me access Loan records that have an Active status, along with task_status and project_name.","frappe.get_all(""Loan"", filters={""status"": ""Active""}, fields=[""task_status"", ""project_name""])"
"Can you provide details of approved leave requests from the HR department that have the the leave dates fall between January 1, 2023, and December 31, 2023. Include employee_name, leave_type, and status, sorted by earliest from_date first.","frappe.get_all(""Leave Application"", filters={""department"": ""HR"", ""status"": ""Approved"", ""from_date"": ["">="", ""2023-01-01""], ""to_date"": [""<="", ""2023-12-31""]}, fields=[""employee_name"", ""leave_type"", ""status""], order_by=""from_date asc"")"
"Can you I'd like to see information on approved Sales Invoice records that have the capacity marked as more than 5000 and the location marked as Los Angeles? Show name, capacity, and location, ordered by capacity from highest to lowest, with a limit of 20 records.","frappe.get_all(""Sales Invoice"", filters={""status"": ""Approved"", ""capacity"": ["">"", 5000], ""location"": ""Los Angeles""}, fields=[""name"", ""capacity"", ""location""], order_by=""capacity desc"", limit=20)"
Showcase data for Timesheets that are currently Active and include status and vehicle_type.,"frappe.get_all(""Timesheet"", filters={""status"": ""Active""}, fields=[""status"", ""vehicle_type""])"
"Provide all Quality Inspection records with an Active status, including project_name and expense_amount.","frappe.get_all(""Quality Inspection"", filters={""status"": ""Active""}, fields=[""project_name"", ""expense_amount""])"
Provide all Loan records whose journal_entry_type marked  as value_176.,"frappe.get_all(""Loan"", filters={""journal_entry_type"": ""value_176""})"
"Display Stock Entry records whose status marked as Active, with details of currency and customer_name.","frappe.get_all(""Stock Entry"", filters={""status"": ""Active""}, fields=[""currency"", ""customer_name""])"
"I need to see Asset records that have status marked as Paid and customer_name marked as greater than 5000, including currency, pricing_rule_type, and customer_name, ordered by creation in descending order.","frappe.get_all(""Asset"", filters={""status"": ""Paid"", ""customer_name"": ["">"", 5000]}, fields=[""currency"", ""pricing_rule_type"", ""customer_name""], order_by=""creation desc"")"
"Give me Stock Entry records which include status marked as Paid and company marked as greater than 12, including pricing_rule_type, status, and company, ordered by creation in descending order.","frappe.get_all(""Stock Entry"", filters={""status"": ""Paid"", ""company"": ["">"", 12]}, fields=[""pricing_rule_type"", ""status"", ""company""], order_by=""creation desc"")"
"Fetch Opportunity records that have the status having Paid and currency having greater than 3900, along with invoice_date, stock_uom, and currency, ordered by creation in descending order.","frappe.get_all(""Opportunity"", filters={""status"": ""Paid"", ""currency"": ["">"", 3900]}, fields=[""invoice_date"", ""stock_uom"", ""currency""], order_by=""creation desc"")"
"List Leave Application records with status marked as Paid and employee_name marked as greater than 300, accompanied by customer_name, company, and employee_name, ordered by creation in descending order.","frappe.get_all(""Leave Application"", filters={""status"": ""Paid"", ""employee_name"": ["">"", 300]}, fields=[""customer_name"", ""company"", ""employee_name""], order_by=""creation desc"")"
Fetch Subscription records that have invoice_date being april 10 2025,"frappe.get_all(""Subscription"", filters={""invoice_date"": ""10-04-2025""})"
"Find Quality Inspection records which include  status Open, including name and task_status.","frappe.get_all(""Quality Inspection"", filters={""status"": ""Open""}, fields=[""name"", ""task_status""])"
"I need to see Pricing Rule records whose  status Pending, accompanied by leave_type and price.","frappe.get_all(""Pricing Rule"", filters={""status"": ""Pending""}, fields=[""leave_type"", ""price""])"
"Can you show me Purchase Order records in which department marked as Sales, status marked as Completed, from_date marked as on or after 2023-06-01, and to_date marked as on or before 2023-12-31, accompanied by employee_name, leave_type, and status, ordered by from_date in ascending order.","frappe.get_all(""Purchase Order"", filters={""department"": ""Sales"", ""status"": ""Completed"", ""from_date"": ["">="", ""2023-06-01""], ""to_date"": [""<="", ""2023-12-31""]}, fields=[""employee_name"", ""leave_type"", ""status""], order_by=""from_date asc"")"
Uncover records of all Item entries.,"frappe.get_all(""Item"")"
"Find and Display Supplier records which include status marked as Active, along with invoice_date and quantity.","frappe.get_all(""Supplier"", filters={""status"": ""Active""}, fields=[""invoice_date"", ""quantity""])"
"I need to see Employee records with status marked as Active, department marked as Sales, and date_of_joining marked as after 2024-01-01, accompanied by name, email, and department, ordered by date_of_joining in descending order.","frappe.get_all(""Employee"", filters={""status"": ""Active"", ""department"": ""Sales"", ""date_of_joining"": ["">"", ""2024-01-01""]}, fields=[""name"", ""email"", ""department""], order_by=""date_of_joining desc"")"
"Pull up Quotation records whose status having Paid and employee_name having greater than 5000, containing vehicle_type, order_date, and employee_name, ordered by creation in descending order.","frappe.get_all(""Quotation"", filters={""status"": ""Paid"", ""employee_name"": ["">"", 5000]}, fields=[""vehicle_type"", ""order_date"", ""employee_name""], order_by=""creation desc"")"
"Show details of Delivery Note records that have the status having Active, along with expense_amount and project_name.","frappe.get_all(""Delivery Note"", filters={""status"": ""Active""}, fields=[""expense_amount"", ""project_name""])"
