Unnamed: 0,Corrected Customer Question,Corrected Frappe Query
1,"I need the child records from Event, can you get that?","for child_doc in frappe.get_doc(""Event"", ""ID-040"").get_children():
    print(child_doc.name)"
2,Can you let me know the child entries of Journal Entry?,"for child_doc in frappe.get_doc(""Journal Entry"", ""ID-020"").get_children():
    print(child_doc.name)"
5,Show the child entries in Work Order.,"for child_doc in frappe.get_doc(""Work Order"", ""ID-031"").get_children():
    print(child_doc.name)"
8,"I need the child records from Customer, can you get that?","for child_doc in frappe.get_doc(""Customer"", ""ID-044"").get_children():
    print(child_doc.name)"
9,Please tell me the child records for Expense Claim.,"for child_doc in frappe.get_doc(""Expense Claim"", ""ID-026"").get_children():
    print(child_doc.name)"
10,Can you let me know the child entries of Purchase Order?,"for child_doc in frappe.get_doc(""Purchase Order"", ""ID-046"").get_children():
    print(child_doc.name)"
11,"I need the child records from Supplier, can you get that?","for child_doc in frappe.get_doc(""Supplier"", ""ID-023"").get_children():
    print(child_doc.name)"
19,"Hey, can you fetch the child records for Material Request?","for child_doc in frappe.get_doc(""Material Request"", ""ID-045"").get_children():
    print(child_doc.name)"
27,What are the child records of Supplier?,"for child_doc in frappe.get_doc(""Supplier"", ""ID-029"").get_children():
    print(child_doc.name)"
29,Can you let me know the child entries of Loan?,"for child_doc in frappe.get_doc(""Loan"", ""ID-035"").get_children():
    print(child_doc.name)"
31,Can you let me know the child entries of Material Request?,"for child_doc in frappe.get_doc(""Material Request"", ""ID-026"").get_children():
    print(child_doc.name)"
34,"I need the child records from Customer, can you get that?","for child_doc in frappe.get_doc(""Customer"", ""ID-041"").get_children():
    print(child_doc.name)"
35,Show the child entries in Contract.,"for child_doc in frappe.get_doc(""Contract"", ""ID-013"").get_children():
    print(child_doc.name)"
36,What are the child records of Task?,"for child_doc in frappe.get_doc(""Task"", ""ID-033"").get_children():
    print(child_doc.name)"
38,Can you fetch the child records of Opportunity?,"for child_doc in frappe.get_doc(""Opportunity"", ""ID-037"").get_children():
    print(child_doc.name)"
42,"Hey, can you fetch the child records for Project?","for child_doc in frappe.get_doc(""Project"", ""ID-010"").get_children():
    print(child_doc.name)"
44,"I need the child records from Sales Order, can you get that?","for child_doc in frappe.get_doc(""Sales Order"", ""ID-047"").get_children():
    print(child_doc.name)"
46,Retrieve all child records for Project.,"for child_doc in frappe.get_doc(""Project"", ""ID-024"").get_children():
    print(child_doc.name)"
48,Can you fetch the child records of Material Request?,"for child_doc in frappe.get_doc(""Material Request"", ""ID-034"").get_children():
    print(child_doc.name)"
50,Can you let me know the child entries of Project?,"for child_doc in frappe.get_doc(""Project"", ""ID-027"").get_children():
    print(child_doc.name)"
54,What are the child records of Warehouse?,"for child_doc in frappe.get_doc(""Warehouse"", ""ID-037"").get_children():
    print(child_doc.name)"
55,Can you let me know the child entries of Loan?,"for child_doc in frappe.get_doc(""Loan"", ""ID-024"").get_children():
    print(child_doc.name)"
56,Can you let me know the child entries of Contract?,"for child_doc in frappe.get_doc(""Contract"", ""ID-027"").get_children():
    print(child_doc.name)"
57,"I need the child records from Lead, can you get that?","for child_doc in frappe.get_doc(""Lead"", ""ID-001"").get_children():
    print(child_doc.name)"
58,Could you show me the child entries in Supplier?,"for child_doc in frappe.get_doc(""Supplier"", ""ID-017"").get_children():
    print(child_doc.name)"
61,"Hey, can you fetch the child records for Pricing Rule?","for child_doc in frappe.get_doc(""Pricing Rule"", ""ID-002"").get_children():
    print(child_doc.name)"
63,What are the child records of Project?,"for child_doc in frappe.get_doc(""Project"", ""ID-002"").get_children():
    print(child_doc.name)"
66,"Hey, can you fetch the child records for Timesheet?","for child_doc in frappe.get_doc(""Timesheet"", ""ID-005"").get_children():
    print(child_doc.name)"
70,Can you let me know the child entries of Quotation?,"for child_doc in frappe.get_doc(""Quotation"", ""ID-034"").get_children():
    print(child_doc.name)"
71,Could you show me the child entries in Asset?,"for child_doc in frappe.get_doc(""Asset"", ""ID-029"").get_children():
    print(child_doc.name)"
72,Retrieve all child records for Pricing Rule.,"for child_doc in frappe.get_doc(""Pricing Rule"", ""ID-004"").get_children():
    print(child_doc.name)"
73,"Hey, can you fetch the child records for Sales Order?","for child_doc in frappe.get_doc(""Sales Order"", ""ID-002"").get_children():
    print(child_doc.name)"
75,Show the child entries in Task.,"for child_doc in frappe.get_doc(""Task"", ""ID-003"").get_children():
    print(child_doc.name)"
80,Can you let me know the child entries of Warehouse?,"for child_doc in frappe.get_doc(""Warehouse"", ""ID-021"").get_children():
    print(child_doc.name)"
81,Retrieve all child records for Subscription.,"for child_doc in frappe.get_doc(""Subscription"", ""ID-012"").get_children():
    print(child_doc.name)"
82,"Hey, can you fetch the child records for Lead?","for child_doc in frappe.get_doc(""Lead"", ""ID-009"").get_children():
    print(child_doc.name)"
85,Can you let me know the child entries of Sales Order?,"for child_doc in frappe.get_doc(""Sales Order"", ""ID-021"").get_children():
    print(child_doc.name)"
91,Can you fetch the child records of Opportunity?,"for child_doc in frappe.get_doc(""Opportunity"", ""OPP-2024-678"").get_children():
    print(child_doc.name)"
92,Could you show me the child entries in Material Request?,"for child_doc in frappe.get_doc(""Material Request"", ""ID-014"").get_children():
    print(child_doc.name)"
93,Retrieve all child records for Opportunity.,"for child_doc in frappe.get_doc(""Opportunity"", ""ID-048"").get_children():
    print(child_doc.name)"
95,Retrieve all child records for Contract.,"for child_doc in frappe.get_doc(""Contract"", ""ID-005"").get_children():
    print(child_doc.name)"
97,Retrieve all child records for Quotation.,"for child_doc in frappe.get_doc(""Quotation"", ""ID-001"").get_children():
    print(child_doc.name)"
99,Show the child entries in Material Request.,"for child_doc in frappe.get_doc(""Material Request"", ""MR-2024-234"").get_children():
    print(child_doc.name)"
105,What are the child records of Task?,"for child_doc in frappe.get_doc(""Task"", ""ID-011"").get_children():
    print(child_doc.name)"
106,Please tell me the child records for Purchase Order.,"for child_doc in frappe.get_doc(""Purchase Order"", ""ID-025"").get_children():
    print(child_doc.name)"
107,Retrieve all child records for Subscription.,"for child_doc in frappe.get_doc(""Subscription"", ""ID-025"").get_children():
    print(child_doc.name)"
108,Please tell me the child records for Pricing Rule.,"for child_doc in frappe.get_doc(""Pricing Rule"", ""ID-032"").get_children():
    print(child_doc.name)"
109,"I need the child records from Customer, can you get that?","for child_doc in frappe.get_doc(""Customer"", ""ID-040"").get_children():
    print(child_doc.name)"
110,Show the child entries in Contract.,"for child_doc in frappe.get_doc(""Contract"", ""ID-026"").get_children():
    print(child_doc.name)"
112,Can you let me know the child entries of Expense Claim?,"for child_doc in frappe.get_doc(""Expense Claim"", ""ID-042"").get_children():
    print(child_doc.name)"
113,"I need the child records from Asset, can you get that?","for child_doc in frappe.get_doc(""Asset"", ""ID-032"").get_children():
    print(child_doc.name)"
117,"Hey, can you fetch the child records for Lead?","for child_doc in frappe.get_doc(""Lead"", ""ID-045"").get_children():
    print(child_doc.name)"
118,Show the child entries in Task.,"for child_doc in frappe.get_doc(""Task"", ""ID-019"").get_children():
    print(child_doc.name)"
120,What are the child records of Contract?,"for child_doc in frappe.get_doc(""Contract"", ""ID-014"").get_children():
    print(child_doc.name)"
122,"Hey, can you fetch the child records for Project?","for child_doc in frappe.get_doc(""Project"", ""ID-040"").get_children():
    print(child_doc.name)"
127,Could you show me the child entries in Supplier?,"for child_doc in frappe.get_doc(""Supplier"", ""ID-021"").get_children():
    print(child_doc.name)"
129,Please tell me the child records for Supplier.,"for child_doc in frappe.get_doc(""Supplier"", ""ID-001"").get_children():
    print(child_doc.name)"
134,"I need the child records from Event, can you get that?","for child_doc in frappe.get_doc(""Event"", ""ID-025"").get_children():
    print(child_doc.name)"
136,Can you let me know the child entries of Customer?,"for child_doc in frappe.get_doc(""Customer"", ""ID-049"").get_children():
    print(child_doc.name)"
137,Please tell me the child records for Material Request.,"for child_doc in frappe.get_doc(""Material Request"", ""ID-033"").get_children():
    print(child_doc.name)"
138,Please tell me the child records for Material Request.,"for child_doc in frappe.get_doc(""Material Request"", ""ID-048"").get_children():
    print(child_doc.name)"
146,Retrieve all child records for Sales Order.,"for child_doc in frappe.get_doc(""Sales Order"", ""ID-014"").get_children():
    print(child_doc.name)"
147,Can you let me know the child entries of Work Order?,"for child_doc in frappe.get_doc(""Work Order"", ""ID-009"").get_children():
    print(child_doc.name)"
153,"I need the child records from Subscription, can you get that?","for child_doc in frappe.get_doc(""Subscription"", ""ID-001"").get_children():
    print(child_doc.name)"
156,Please tell me the child records for Opportunity.,"for child_doc in frappe.get_doc(""Opportunity"", ""ID-007"").get_children():
    print(child_doc.name)"
159,Please tell me the child records for Timesheet.,"for child_doc in frappe.get_doc(""Timesheet"", ""ID-024"").get_children():
    print(child_doc.name)"
161,Please tell me the child records for Expense Claim.,"for child_doc in frappe.get_doc(""Expense Claim"", ""ID-048"").get_children():
    print(child_doc.name)"
166,"I need the child records from Customer, can you get that?","for child_doc in frappe.get_doc(""Customer"", ""ID-032"").get_children():
    print(child_doc.name)"
169,What are the child records of Event?,"for child_doc in frappe.get_doc(""Event"", ""ID-037"").get_children():
    print(child_doc.name)"
174,What are the child records of Event?,"for child_doc in frappe.get_doc(""Event"", ""ID-039"").get_children():
    print(child_doc.name)"
178,Please tell me the child records for Event.,"for child_doc in frappe.get_doc(""Event"", ""ID-044"").get_children():
    print(child_doc.name)"
180,Can you fetch the child records of Timesheet?,"for child_doc in frappe.get_doc(""Timesheet"", ""ID-027"").get_children():
    print(child_doc.name)"
184,Could you show me the child entries in Pricing Rule?,"for child_doc in frappe.get_doc(""Pricing Rule"", ""ID-028"").get_children():
    print(child_doc.name)"
185,"I need the child records from Warehouse, can you get that?","for child_doc in frappe.get_doc(""Warehouse"", ""ID-038"").get_children():
    print(child_doc.name)"
186,Can you let me know the child entries of Timesheet?,"for child_doc in frappe.get_doc(""Timesheet"", ""ID-008"").get_children():
    print(child_doc.name)"
188,"Hey, can you fetch the child records for Stock Entry?","for child_doc in frappe.get_doc(""Stock Entry"", ""ID-006"").get_children():
    print(child_doc.name)"
192,Can you fetch the child records of Subscription?,"for child_doc in frappe.get_doc(""Subscription"", ""ID-019"").get_children():
    print(child_doc.name)"
193,Show the child entries in Contract.,"for child_doc in frappe.get_doc(""Contract"", ""ID-042"").get_children():
    print(child_doc.name)"
195,"I need the child records from Purchase Order, can you get that?","for child_doc in frappe.get_doc(""Purchase Order"", ""ID-028"").get_children():
    print(child_doc.name)"
197,What are the child records of Subscription?,"for child_doc in frappe.get_doc(""Subscription"", ""ID-034"").get_children():
    print(child_doc.name)"
198,Please tell me the child records for Purchase Order.,"for child_doc in frappe.get_doc(""Purchase Order"", ""ID-030"").get_children():
    print(child_doc.name)"
205,"Hey, can you fetch the child records for Expense Claim?","for child_doc in frappe.get_doc(""Expense Claim"", ""ID-019"").get_children():
    print(child_doc.name)"
207,Can you fetch the child records of Warehouse?,"for child_doc in frappe.get_doc(""Warehouse"", ""ID-018"").get_children():
    print(child_doc.name)"
212,"I need the child records from Lead, can you get that?","for child_doc in frappe.get_doc(""Lead"", ""ID-023"").get_children():
    print(child_doc.name)"
213,What are the child records of Stock Entry?,"for child_doc in frappe.get_doc(""Stock Entry"", ""ID-023"").get_children():
    print(child_doc.name)"
216,"Hey, can you fetch the child records for Event?","for child_doc in frappe.get_doc(""Event"", ""ID-002"").get_children():
    print(child_doc.name)"
221,Can you let me know the child entries of Warehouse?,"for child_doc in frappe.get_doc(""Warehouse"", ""ID-043"").get_children():
    print(child_doc.name)"
224,Show the child entries in Stock Entry.,"for child_doc in frappe.get_doc(""Stock Entry"", ""ID-011"").get_children():
    print(child_doc.name)"
225,Show the child entries in Purchase Order.,"for child_doc in frappe.get_doc(""Purchase Order"", ""ID-012"").get_children():
    print(child_doc.name)"
229,Show the child entries in Asset.,"for child_doc in frappe.get_doc(""Asset"", ""ID-037"").get_children():
    print(child_doc.name)"
230,Show the child entries in Expense Claim.,"for child_doc in frappe.get_doc(""Expense Claim"", ""ID-023"").get_children():
    print(child_doc.name)"
231,Retrieve all child records for Stock Entry.,"for child_doc in frappe.get_doc(""Stock Entry"", ""ID-043"").get_children():
    print(child_doc.name)"
235,Could you show me the child entries in Customer?,"for child_doc in frappe.get_doc(""Customer"", ""ID-015"").get_children():
    print(child_doc.name)"
237,Can you fetch the child records of Quotation?,"for child_doc in frappe.get_doc(""Quotation"", ""ID-048"").get_children():
    print(child_doc.name)"
238,Could you show me the child entries in Stock Entry?,"for child_doc in frappe.get_doc(""Stock Entry"", ""ID-001"").get_children():
    print(child_doc.name)"
239,Can you let me know the child entries of Pricing Rule?,"for child_doc in frappe.get_doc(""Pricing Rule"", ""ID-009"").get_children():
    print(child_doc.name)"
240,"Hey, can you fetch the child records for Subscription?","for child_doc in frappe.get_doc(""Subscription"", ""ID-024"").get_children():
    print(child_doc.name)"
244,Could you show me the child entries in Timesheet?,"for child_doc in frappe.get_doc(""Timesheet"", ""ID-037"").get_children():
    print(child_doc.name)"
