Customer Question,Frappe Query
"Show me all EV Charging Station Usage documents with station_id, energy_dispensed, peak_usage_time, location matching '2638'?","docs = frappe.get_all(""EV Charging Station Usage"", filters={""station_id, energy_dispensed, peak_usage_time, location"": ""2638""})"
"Can you find all AI-Powered Emergency Response records where incident_id, response_time, severity_assessment equals '4052'?","docs = frappe.get_all(""AI-Powered Emergency Response"", filters={""incident_id, response_time, severity_assessment"": ""4052""})"
"Show me all AI-Generated Content Logs documents with content_id, AI_model, approval_status, engagement_score matching '4519'?","docs = frappe.get_all(""AI-Generated Content Logs"", filters={""content_id, AI_model, approval_status, engagement_score"": ""4519""})"
"List every Wearable Fitness Data entry that has user_id, step_count, heart_rate, calories_burned set to '7056'?","docs = frappe.get_all(""Wearable Fitness Data"", filters={""user_id, step_count, heart_rate, calories_burned"": ""7056""})"
"Fetch all AR/VR Training Session records where session_id, trainee_id, completion_status, feedback is '1579'?","docs = frappe.get_all(""AR/VR Training Session"", filters={""session_id, trainee_id, completion_status, feedback"": ""1579""})"
"Can you find all Genetic Research Study records where study_id, gene_sequence, results, publication_date equals '2406'?","docs = frappe.get_all(""Genetic Research Study"", filters={""study_id, gene_sequence, results, publication_date"": ""2406""})"
"List every AR/VR Training Session entry that has session_id, trainee_id, completion_status, feedback set to '3398'?","docs = frappe.get_all(""AR/VR Training Session"", filters={""session_id, trainee_id, completion_status, feedback"": ""3398""})"
"Fetch all AI Model records where model_name, version, accuracy, dataset_used is '5464'?","docs = frappe.get_all(""AI Model"", filters={""model_name, version, accuracy, dataset_used"": ""5464""})"
"Fetch all Smart City Traffic Data records where sensor_location, avg_speed, congestion_level, peak_hours is '6311'?","docs = frappe.get_all(""Smart City Traffic Data"", filters={""sensor_location, avg_speed, congestion_level, peak_hours"": ""6311""})"
"Fetch all AI-Generated Content Logs records where content_id, AI_model, approval_status, engagement_score is '1078'?","docs = frappe.get_all(""AI-Generated Content Logs"", filters={""content_id, AI_model, approval_status, engagement_score"": ""1078""})"
"Fetch all Carbon Footprint Tracking records where entity_id, CO2_emissions, offset_status, reduction_goals is '5141'?","docs = frappe.get_all(""Carbon Footprint Tracking"", filters={""entity_id, CO2_emissions, offset_status, reduction_goals"": ""5141""})"
"List every Smart Farming IoT Logs entry that has sensor_type, soil_moisture, temperature, irrigation_status set to '9180'?","docs = frappe.get_all(""Smart Farming IoT Logs"", filters={""sensor_type, soil_moisture, temperature, irrigation_status"": ""9180""})"
"List every Metaverse Virtual Land Transactions entry that has land_id, owner, sale_price, development_status set to '7849'?","docs = frappe.get_all(""Metaverse Virtual Land Transactions"", filters={""land_id, owner, sale_price, development_status"": ""7849""})"
"List every Neural Implant Research entry that has patient_id, brainwave_analysis, device_performance set to '5184'?","docs = frappe.get_all(""Neural Implant Research"", filters={""patient_id, brainwave_analysis, device_performance"": ""5184""})"
"Can you find all IoT Sensor Data records where sensor_id, location, value, timestamp equals '6699'?","docs = frappe.get_all(""IoT Sensor Data"", filters={""sensor_id, location, value, timestamp"": ""6699""})"
"Show me all Smart Prosthetics Performance documents with device_id, patient_feedback, efficiency_score matching '6869'?","docs = frappe.get_all(""Smart Prosthetics Performance"", filters={""device_id, patient_feedback, efficiency_score"": ""6869""})"
