Corrected Customer Question,Corrected Frappe Query
Change the Risk identifier from PROJ-20 to PROJ-X14.,"frappe.rename_doc(""Risk Assessment"", ""PROJ-20"", ""PROJ-X14"", merge=True)
frappe.rename_doc(""Risk Assessment"", ""PROJ-X14"", ""PROJ-FINAL14"", merge=True)"
Can you rename Work OLD014 to NEW035.?,"frappe.rename_doc(""Work Order"", ""OLD014"", ""NEW035"")"
Can you rename Stock OLD016 to NEW024.?,"frappe.rename_doc(""Stock Entry"", ""OLD016"", ""NEW024"")"
Change the Sales identifier from PROJ-19 to PROJ-X6.,"frappe.rename_doc(""Sales Invoice"", ""PROJ-19"", ""PROJ-X6"", merge=True)
frappe.rename_doc(""Sales Invoice"", ""PROJ-X6"", ""PROJ-FINAL9"", merge=True)"
Modify the document name for Payment from OLD-A10 to NEW-X15.,"frappe.rename_doc(""Payment Entry"", ""OLD-A10"", ""NEW-X15"", merge=True)"
I need to update the name of Material OLD009 to NEW023..,"frappe.rename_doc(""Material Request"", ""OLD009"", ""NEW023"")"
I need to update the name of Purchase OLD-A3 to NEW-X18.,"frappe.rename_doc(""Purchase Order"", ""OLD-A3"", ""NEW-X18"", merge=True)"
Can you rename Payment OLD-A3 to NEW-X5?,"frappe.rename_doc(""Payment Entry"", ""OLD-A3"", ""NEW-X5"", merge=True)"
I want to rename Work PROJ-18 with the new name PROJ-X13.,"frappe.rename_doc(""Work Order"", ""PROJ-18"", ""PROJ-X13"", merge=True)
frappe.rename_doc(""Work Order"", ""PROJ-X13"", ""PROJ-FINAL19"", merge=True)"
Modify the document name for Subscription from PROJ-16 to PROJ-X6.,"frappe.rename_doc(""Subscription"", ""PROJ-16"", ""PROJ-X6"", merge=True)
frappe.rename_doc(""Subscription"", ""PROJ-X6"", ""PROJ-FINAL7"", merge=True)"
Please change the name of Communication from OLD030 to NEW047..,"frappe.rename_doc(""Communication"", ""OLD030"", ""NEW047"")"
Modify the document name for Contract from OLD-A12 to NEW-X7.,"frappe.rename_doc(""Contract"", ""OLD-A12"", ""NEW-X7"", merge=True)"
I need to update the name of Risk PROJ-17 to PROJ-X7.,"frappe.rename_doc(""Risk Assessment"", ""PROJ-17"", ""PROJ-X7"", merge=True)
frappe.rename_doc(""Risk Assessment"", ""PROJ-X7"", ""PROJ-FINAL8"", merge=True)"
Could you update Quotation OLD-A14 and rename it as NEW-X25?,"frappe.rename_doc(""Quotation"", ""OLD-A14"", ""NEW-X25"", merge=True)"
I want to rename Sales OLD040 with the new name NEW046..,"frappe.rename_doc(""Sales Invoice"", ""OLD040"", ""NEW046"")"
Rename Work OLD001 to NEW009..,"frappe.rename_doc(""Work Order"", ""OLD001"", ""NEW009"")"
