Corrected Customer Question,Corrected Frappe Query,Query Length,Category,Conversational Question
Get the total sales per customer for paid invoices.,"frappe.get_list(""Sales Invoice"", filters={""status"": ""Paid""}, fields=[""customer_name"", ""sum(""""""grand_total"""""") as total_sales""], group_by=""customer_name"")",153,Complex,Can you show me total sales per customer for paid invoices.
Get all sales orders that are either Pending or Processing.,"frappe.get_list(""Sales Order"", or_filters={""status"": ""Pending""}, {""status"": ""Processing""}}, fields=[""name"", ""customer_name""])",125,Complex,Get all sales orders that are either Pending or Processing.
"Retrieve the first 20 Employee records where status is Supervisor, sorted by status in descending order, starting from the 10th record.","frappe.get_list(""Employee"", filters={""status"": ""Supervisor""}, fields=[""transaction_date"", ""status""], order_by=""status desc"", start=10, page_length=20, as_list=True)",164,Complex,"Can you fetch the first 20 Employee records where status is Supervisor, sorted by status in descending order, starting from the 10th record."
Get the total stock quantity per item.,"frappe.get_list(""Stock Entry"", fields=[""item_code"", ""sum(""""""stock_quantity"""""") as total_stock""], group_by=""item_code"")",118,Medium,Can you show me total stock quantity per item.
Get all employees who work in either HR or IT departments.,"frappe.get_list(""Employee"", or_filters={""department"": ""HR""}, {""department"": ""IT""}}, fields=[""name"", ""designation""])",115,Medium,Get all employees who work in either HR or IT departments.
Get the number of employees per department.,"frappe.get_list(""Employee"", fields=[""department"", ""count(""""""name"""""") as employee_count""], group_by=""department"")",112,Medium,Can you show me number of employees per department.
Get the total sales per customer for paid invoices.,"frappe.get_list(""Sales Invoice"", filters={""status"": ""Paid""}, fields=[""customer_name"", ""sum(""""""grand_total"""""") as total_sales""], group_by=""customer_name"")",153,Complex,Can you show me total sales per customer for paid invoices.
Get a list of 15 employees.,"frappe.get_list(""Employee"", fields=[""employee_name"", ""designation""], limit_page_length=15)",90,Medium,Can you list 15 employees.
Get the total sales per customer for paid invoices.,"frappe.get_list(""Sales Invoice"", filters={""status"": ""Paid""}, fields=[""customer_name"", ""sum(""""""grand_total"""""") as total_sales""], group_by=""customer_name"")",153,Complex,Can you show me total sales per customer for paid invoices.
"Retrieve the first 20 Sales Order records where transaction_date is Manager, sorted by subject in descending order, starting from the 10th record.","frappe.get_list(""Sales Order"", filters={""transaction_date"": ""Manager""}, fields=[""priority"", ""subject""], order_by=""subject desc"", start=10, page_length=20, as_list=True)",168,Complex,"Can you fetch the first 20 Sales Order records where transaction_date is Manager, sorted by subject in descending order, starting from the 10th record."
"Retrieve the first 20 Purchase Order records where status is Manager, sorted by priority in descending order, starting from the 10th record.","frappe.get_list(""Purchase Order"", filters={""status"": ""Manager""}, fields=[""transaction_date"", ""priority""], order_by=""priority desc"", start=10, page_length=20, as_list=True)",171,Complex,"Can you fetch the first 20 Purchase Order records where status is Manager, sorted by priority in descending order, starting from the 10th record."
Get all employees who work in either HR or IT departments.,"frappe.get_list(""Employee"", or_filters={""department"": ""HR""}, {""department"": ""IT""}}, fields=[""name"", ""designation""])",115,Medium,Get all employees who work in either HR or IT departments.
Find all Task records placed between 2023-01-01 and 2024-12-31 (both inclusive).,"frappe.get_list(""Task"", filters={[""status"", ""between"", [""2023-01-01"", ""2024-12-31""})",84,Medium,Find all Task records placed between 2023-01-01 and 2024-12-31 (both inclusive).
Get the number of employees per department.,"frappe.get_list(""Employee"", fields=[""department"", ""count(""""""name"""""") as employee_count""], group_by=""department"")",112,Medium,Can you show me number of employees per department.
"Retrieve the first 20 Sales Order records where priority is Lead, sorted by count in descending order, starting from the 10th record.","frappe.get_list(""Sales Order"", filters={""priority"": ""Lead""}, fields=[""status"", ""count""], order_by=""count desc"", start=10, page_length=20, as_list=True)",151,Complex,"Can you fetch the first 20 Sales Order records where priority is Lead, sorted by count in descending order, starting from the 10th record."
Get a list of 10 customers.,"frappe.get_list(""Customer"", fields=[""name"", ""customer_name""], limit_page_length=10)",83,Medium,Can you list 10 customers.
Get a list of 10 customers.,"frappe.get_list(""Customer"", fields=[""name"", ""customer_name""], limit_page_length=10)",83,Medium,Can you list 10 customers.
Get a list of 5 overdue sales invoices.,"frappe.get_list(""Sales Invoice"", filters={""status"": ""Overdue""}, fields=[""name"", ""total_amount""], limit_page_length=5)",117,Medium,Can you list 5 overdue sales invoices.
Get a list of 5 overdue sales invoices.,"frappe.get_list(""Sales Invoice"", filters={""status"": ""Overdue""}, fields=[""name"", ""total_amount""], limit_page_length=5)",117,Medium,Can you list 5 overdue sales invoices.
Get the total stock quantity per item.,"frappe.get_list(""Stock Entry"", fields=[""item_code"", ""sum(""""""stock_quantity"""""") as total_stock""], group_by=""item_code"")",118,Medium,Can you show me total stock quantity per item.
Find all Task records placed between 2022-04-01 and 2023-12-31 (both inclusive).,"frappe.get_list(""Task"", filters={[""status"", ""between"", [""2022-04-01"", ""2023-12-31""})",84,Medium,Find all Task records placed between 2022-04-01 and 2023-12-31 (both inclusive).
Get the total stock quantity per item.,"frappe.get_list(""Stock Entry"", fields=[""item_code"", ""sum(""""""stock_quantity"""""") as total_stock""], group_by=""item_code"")",118,Medium,Can you show me total stock quantity per item.
Get the number of employees per department.,"frappe.get_list(""Employee"", fields=[""department"", ""count(""""""name"""""") as employee_count""], group_by=""department"")",112,Medium,Can you show me number of employees per department.
"Retrieve the first 20 Employee records where designation is Lead, sorted by status in descending order, starting from the 10th record.","frappe.get_list(""Employee"", filters={""designation"": ""Lead""}, fields=[""status"", ""status""], order_by=""status desc"", start=10, page_length=20, as_list=True)",153,Complex,"Can you fetch the first 20 Employee records where designation is Lead, sorted by status in descending order, starting from the 10th record."
"Retrieve the first 20 Employee records where transaction_date is Supervisor, sorted by subject in descending order, starting from the 10th record.","frappe.get_list(""Employee"", filters={""transaction_date"": ""Supervisor""}, fields=[""designation"", ""subject""], order_by=""subject desc"", start=10, page_length=20, as_list=True)",171,Complex,"Can you fetch the first 20 Employee records where transaction_date is Supervisor, sorted by subject in descending order, starting from the 10th record."
Get a list of 15 employees.,"frappe.get_list(""Employee"", fields=[""employee_name"", ""designation""], limit_page_length=15)",90,Medium,Can you list 15 employees.
"Retrieve a list of all Expense Claim records where date_submitted is Open, fetching creation and subject, sorted by subject in descending order.","frappe.get_list(""Expense Claim"", filters={""date_submitted"": ""Open""}, fields=[""creation"", ""subject""], order_by=""subject desc"")",125,Complex,"Can you fetch a list of all Expense Claim records where date_submitted is Open, fetching creation and subject, sorted by subject in descending order."
Get all customers who belong to either Retail or Wholesale groups.,"frappe.get_list(""Customer"", or_filters={""customer_group"": ""Retail""}, {""customer_group"": ""Wholesale""}}, fields=[""name"", ""customer_name""])",136,Complex,Get all customers who belong to either Retail or Wholesale groups.
Find all Purchase Order records placed between 2024-01-01 and 2023-03-31 (both inclusive).,"frappe.get_list(""Purchase Order"", filters={[""count"", ""between"", [""2024-01-01"", ""2023-03-31""})",93,Medium,Find all Purchase Order records placed between 2024-01-01 and 2023-03-31 (both inclusive).
Get the total sales per customer for paid invoices.,"frappe.get_list(""Sales Invoice"", filters={""status"": ""Paid""}, fields=[""customer_name"", ""sum(""""""grand_total"""""") as total_sales""], group_by=""customer_name"")",153,Complex,Can you show me total sales per customer for paid invoices.
"Retrieve the first 20 Stock Entry records where count is Supervisor, sorted by priority in descending order, starting from the 10th record.","frappe.get_list(""Stock Entry"", filters={""count"": ""Supervisor""}, fields=[""priority"", ""priority""], order_by=""priority desc"", start=10, page_length=20, as_list=True)",162,Complex,"Can you fetch the first 20 Stock Entry records where count is Supervisor, sorted by priority in descending order, starting from the 10th record."
Get the number of employees per department.,"frappe.get_list(""Employee"", fields=[""department"", ""count(""""""name"""""") as employee_count""], group_by=""department"")",112,Medium,Can you show me number of employees per department.
Get all customers who belong to either Retail or Wholesale groups.,"frappe.get_list(""Customer"", or_filters={""customer_group"": ""Retail""}, {""customer_group"": ""Wholesale""}}, fields=[""name"", ""customer_name""])",136,Complex,Get all customers who belong to either Retail or Wholesale groups.
"Retrieve the first 20 Stock Entry records where count is Supervisor, sorted by subject in descending order, starting from the 10th record.","frappe.get_list(""Stock Entry"", filters={""count"": ""Supervisor""}, fields=[""designation"", ""subject""], order_by=""subject desc"", start=10, page_length=20, as_list=True)",163,Complex,"Can you fetch the first 20 Stock Entry records where count is Supervisor, sorted by subject in descending order, starting from the 10th record."
Get the total sales per customer for paid invoices.,"frappe.get_list(""Sales Invoice"", filters={""status"": ""Paid""}, fields=[""customer_name"", ""sum(""""""grand_total"""""") as total_sales""], group_by=""customer_name"")",153,Complex,Can you show me total sales per customer for paid invoices.
Find all Task records placed between 2024-01-01 and 2024-06-30 (both inclusive).,"frappe.get_list(""Task"", filters={[""priority"", ""between"", [""2024-01-01"", ""2024-06-30""})",86,Medium,Find all Task records placed between 2024-01-01 and 2024-06-30 (both inclusive).
"Retrieve a list of all Expense Claim records where subject is Pending, fetching status and creation, sorted by creation in descending order.","frappe.get_list(""Expense Claim"", filters={""subject"": ""Pending""}, fields=[""status"", ""creation""], order_by=""creation desc"")",121,Complex,"Can you fetch a list of all Expense Claim records where subject is Pending, fetching status and creation, sorted by creation in descending order."
"Retrieve a list of all Timesheet records where creation is Approved, fetching status and creation, sorted by creation in descending order.","frappe.get_list(""Timesheet"", filters={""creation"": ""Approved""}, fields=[""status"", ""creation""], order_by=""creation desc"")",119,Medium,"Can you fetch a list of all Timesheet records where creation is Approved, fetching status and creation, sorted by creation in descending order."
Get the total sales per customer for paid invoices.,"frappe.get_list(""Sales Invoice"", filters={""status"": ""Paid""}, fields=[""customer_name"", ""sum(""""""grand_total"""""") as total_sales""], group_by=""customer_name"")",153,Complex,Can you show me total sales per customer for paid invoices.
Find all Task records placed between 2023-01-01 and 2023-03-31 (both inclusive).,"frappe.get_list(""Task"", filters={[""subject"", ""between"", [""2023-01-01"", ""2023-03-31""})",85,Medium,Find all Task records placed between 2023-01-01 and 2023-03-31 (both inclusive).
Get all employees who work in either HR or IT departments.,"frappe.get_list(""Employee"", or_filters={""department"": ""HR""}, {""department"": ""IT""}}, fields=[""name"", ""designation""])",115,Medium,Get all employees who work in either HR or IT departments.
Get a list of all Payroll Entry records.,"frappe.get_list(""Payroll Entry"", fields=[""name""])",49,Simple,Can you list all Payroll Entry records.
Get a list of all Billing Dispute records.,"frappe.get_list(""Billing Dispute"", fields=[""name""])",51,Simple,Can you list all Billing Dispute records.
"Retrieve the first 20 Purchase Order records where subject is Supervisor, sorted by transaction_date in descending order, starting from the 10th record.","frappe.get_list(""Purchase Order"", filters={""subject"": ""Supervisor""}, fields=[""designation"", ""transaction_date""], order_by=""transaction_date desc"", start=10, page_length=20, as_list=True)",186,Complex,"Can you fetch the first 20 Purchase Order records where subject is Supervisor, sorted by transaction_date in descending order, starting from the 10th record."
Get the number of employees per department.,"frappe.get_list(""Employee"", fields=[""department"", ""count(""""""name"""""") as employee_count""], group_by=""department"")",112,Medium,Can you show me number of employees per department.
"Retrieve the first 20 Task records where subject is Director, sorted by transaction_date in descending order, starting from the 10th record.","frappe.get_list(""Task"", filters={""subject"": ""Director""}, fields=[""priority"", ""transaction_date""], order_by=""transaction_date desc"", start=10, page_length=20, as_list=True)",171,Complex,"Can you fetch the first 20 Task records where subject is Director, sorted by transaction_date in descending order, starting from the 10th record."
"Retrieve a list of all Timesheet records where date_submitted is Open, fetching date_submitted and creation, sorted by creation in descending order.","frappe.get_list(""Timesheet"", filters={""date_submitted"": ""Open""}, fields=[""date_submitted"", ""creation""], order_by=""creation desc"")",129,Complex,"Can you fetch a list of all Timesheet records where date_submitted is Open, fetching date_submitted and creation, sorted by creation in descending order."
Get a list of 15 employees.,"frappe.get_list(""Employee"", fields=[""employee_name"", ""designation""], limit_page_length=15)",90,Medium,Can you list 15 employees.
Get the number of employees per department.,"frappe.get_list(""Employee"", fields=[""department"", ""count(""""""name"""""") as employee_count""], group_by=""department"")",112,Medium,Can you show me number of employees per department.
Find all Employee records placed between 2023-06-01 and 2024-06-30 (both inclusive).,"frappe.get_list(""Employee"", filters={[""designation"", ""between"", [""2023-06-01"", ""2024-06-30""})",93,Medium,Find all Employee records placed between 2023-06-01 and 2024-06-30 (both inclusive).
Get a list of 15 employees.,"frappe.get_list(""Employee"", fields=[""employee_name"", ""designation""], limit_page_length=15)",90,Medium,Can you list 15 employees.
Get a list of 10 customers.,"frappe.get_list(""Customer"", fields=[""name"", ""customer_name""], limit_page_length=10)",83,Medium,Can you list 10 customers.
Find all Purchase Order records placed between 2022-04-01 and 2024-12-31 (both inclusive).,"frappe.get_list(""Purchase Order"", filters={[""designation"", ""between"", [""2022-04-01"", ""2024-12-31""})",99,Medium,Find all Purchase Order records placed between 2022-04-01 and 2024-12-31 (both inclusive).
"Retrieve a list of all Timesheet records where status is Pending, fetching subject and subject, sorted by subject in descending order.","frappe.get_list(""Timesheet"", filters={""status"": ""Pending""}, fields=[""subject"", ""subject""], order_by=""subject desc"")",115,Medium,"Can you fetch a list of all Timesheet records where status is Pending, fetching subject and subject, sorted by subject in descending order."
