Unnamed: 0,Corrected Customer Question,Corrected Frappe Query
0,Can you find the parent document of Employee having reference 009?,"frappe.get_doc(""Employee"", ""ID-009"").get_parent()"
1,Could you tell me the parent document of Milestone for milestone_045?,"frappe.get_doc(""Milestone"", ""ID-045"").get_parent()"
2,Could you help me find the parent document linked to Invoice with cust_047?,"frappe.get_doc(""Invoice"", ""ID-047"").get_parent()"
6,Could you help me find the parent document linked to Leave Application with prod412818?,"frappe.get_doc(""Leave Application"", ""ID-049"").get_parent()"
7,I need to know the parent document for Journal Entry identified by ref 021.,"frappe.get_doc(""Journal Entry"", ""ID-021"").get_parent()"
10,I need to know the parent document for Asset identified by supp_033.,"frappe.get_doc(""Asset"", ""ID-033"").get_parent()"
12,"For Sales Invoice with order711825, what is the parent document?","frappe.get_doc(""Sales Invoice"", ""ID-041"").get_parent()"
16,"For Chart of Accounts with order_010, what is the parent document?","frappe.get_doc(""Chart of Accounts"", ""ID-010"").get_parent()"
20,"For Work Order with ab6064, what is the parent document?","frappe.get_doc(""Work Order"", ""ID-017"").get_parent()"
21,Can you find the parent document of Serial No having 023X?,"frappe.get_doc(""Serial No"", ""ID-023"").get_parent()"
25,Can you provide the parent document for Asset with hdyhfdje395?,"frappe.get_doc(""Asset"", ""ID-038"").get_parent()"
27,Tell me the parent document of Supplier with record 024.,"frappe.get_doc(""Supplier"", ""ID-024"").get_parent()"
30,Can you find the parent document of Journal Entry having 044X?,"frappe.get_doc(""Journal Entry"", ""ID-044"").get_parent()"
33,Can you find the parent document of Tax Rule having ref-009?,"frappe.get_doc(""Tax Rule"", ""ID-009"").get_parent()"
37,What is the parent document for the Course with identifier 028?,"frappe.get_doc(""Course"", ""ID-028"").get_parent()"
43,Could you help me find the parent document linked to Instructor with identifier 022?,"frappe.get_doc(""Instructor"", ""ID-022"").get_parent()"
46,Can you provide the parent document for Loan with hdyhfdje177?,"frappe.get_doc(""Loan"", ""ID-018"").get_parent()"
51,I need to know the parent document for Pricing Rule identified by ref 023.,"frappe.get_doc(""Pricing Rule"", ""ID-023"").get_parent()"
52,"For Quotation with order_020, what is the parent document?","frappe.get_doc(""Quotation"", ""ID-020"").get_parent()"
54,What is the parent document for the Stock Entry with record 022?,"frappe.get_doc(""Stock Entry"", ""ID-022"").get_parent()"
55,Tell me the parent document of Contract with name 021.,"frappe.get_doc(""Contract"", ""ID-021"").get_parent()"
57,Could you tell me the parent document of Purchase Invoice for id 023?,"frappe.get_doc(""Purchase Invoice"", ""ID-023"").get_parent()"
58,Can you find the parent document of Permit Application having permit application_038?,"frappe.get_doc(""Permit Application"", ""ID-038"").get_parent()"
59,"For Supplier with hd7670, what is the parent document?","frappe.get_doc(""Supplier"", ""ID-045"").get_parent()"
63,Could you help me find the parent document linked to Stock Entry with entry 003?,"frappe.get_doc(""Stock Entry"", ""ID-003"").get_parent()"
66,"For Support Ticket with supp_024, what is the parent document?","frappe.get_doc(""Support Ticket"", ""ID-024"").get_parent()"
67,Could you tell me the parent document of Contract for identifier 009?,"frappe.get_doc(""Contract"", ""ID-009"").get_parent()"
68,I need to know the parent document for Supplier identified by reference 011.,"frappe.get_doc(""Supplier"", ""ID-011"").get_parent()"
70,Could you tell me the parent document of Meeting for ref-014?,"frappe.get_doc(""Meeting"", ""ID-014"").get_parent()"
73,Can you provide the parent document for Loan with reference 002?,"frappe.get_doc(""Loan"", ""ID-002"").get_parent()"
76,"For Stock Entry with sto-012, what is the parent document?","frappe.get_doc(""Stock Entry"", ""ID-012"").get_parent()"
94,Can you provide the parent document for Student with record 046?,"frappe.get_doc(""Student"", ""ID-046"").get_parent()"
97,What is the parent document for the Subscription with doc_name 035?,"frappe.get_doc(""Subscription"", ""ID-035"").get_parent()"
99,What is the parent document for the Loan with 037_ID?,"frappe.get_doc(""Loan"", ""ID-037"").get_parent()"
100,I need to know the parent document for Meeting identified by hdyhfdje721.,"frappe.get_doc(""Meeting"", ""ID-012"").get_parent()"
103,Can you provide the parent document for Vital Signs with ref 048?,"frappe.get_doc(""Vital Signs"", ""ID-048"").get_parent()"
104,Could you tell me the parent document of Invoice for id 008?,"frappe.get_doc(""Invoice"", ""ID-008"").get_parent()"
105,Could you help me find the parent document linked to Supplier with entry 014?,"frappe.get_doc(""Supplier"", ""ID-014"").get_parent()"
107,"For Stock Entry with reference 038, what is the parent document?","frappe.get_doc(""Stock Entry"", ""ID-038"").get_parent()"
119,Can you find the parent document of Material Request having 002X?,"frappe.get_doc(""Material Request"", ""ID-002"").get_parent()"
122,Tell me the parent document of Purchase Order with id 036.,"frappe.get_doc(""Purchase Order"", ""ID-036"").get_parent()"
124,Can you find the parent document of Purchase Order having reference 031?,"frappe.get_doc(""Purchase Order"", ""ID-031"").get_parent()"
125,I need to know the parent document for Job Card identified by id 032.,"frappe.get_doc(""Job Card"", ""ID-032"").get_parent()"
127,I need to know the parent document for Supplier identified by hdyhfdje812.,"frappe.get_doc(""Supplier"", ""ID-013"").get_parent()"
129,"For Opportunity with opportunity_002, what is the parent document?","frappe.get_doc(""Opportunity"", ""ID-002"").get_parent()"
133,Tell me the parent document of Supplier with sup-037.,"frappe.get_doc(""Supplier"", ""ID-037"").get_parent()"
135,What is the parent document for the Expense Claim with supp_001?,"frappe.get_doc(""Expense Claim"", ""ID-001"").get_parent()"
145,What is the parent document for the Expense Claim with expense claim_019?,"frappe.get_doc(""Expense Claim"", ""ID-019"").get_parent()"
147,What is the parent document for the Job Opening with 049_ID?,"frappe.get_doc(""Job Opening"", ""ID-049"").get_parent()"
148,Could you help me find the parent document linked to Expense Claim with doc_name 035?,"frappe.get_doc(""Expense Claim"", ""ID-035"").get_parent()"
150,Can you find the parent document of Meeting having entry 036?,"frappe.get_doc(""Meeting"", ""ID-036"").get_parent()"
154,Tell me the parent document of Job Applicant with identifier 038.,"frappe.get_doc(""Job Applicant"", ""ID-038"").get_parent()"
158,Tell me the parent document of Stock Entry with doc_name 030.,"frappe.get_doc(""Stock Entry"", ""ID-030"").get_parent()"
159,Can you provide the parent document for Vital Signs with supp_024?,"frappe.get_doc(""Vital Signs"", ""ID-024"").get_parent()"
160,Could you help me find the parent document linked to Purchase Order with reference 026?,"frappe.get_doc(""Purchase Order"", ""ID-026"").get_parent()"
162,"For Service Level Agreement with entry 046, what is the parent document?","frappe.get_doc(""Service Level Agreement"", ""ID-046"").get_parent()"
168,Could you tell me the parent document of Contact for supp_013?,"frappe.get_doc(""Contact"", ""ID-013"").get_parent()"
172,What is the parent document for the Invoice with doc_name 020?,"frappe.get_doc(""Invoice"", ""ID-020"").get_parent()"
174,Could you tell me the parent document of Material Request for entry 026?,"frappe.get_doc(""Material Request"", ""ID-026"").get_parent()"
176,Could you help me find the parent document linked to Permit Application with hdyhfdje227?,"frappe.get_doc(""Permit Application"", ""ID-033"").get_parent()"
177,What is the parent document for the Pricing Rule with pri-029?,"frappe.get_doc(""Pricing Rule"", ""ID-029"").get_parent()"
179,Could you help me find the parent document linked to Hotel Reservation with order_020?,"frappe.get_doc(""Hotel Reservation"", ""ID-020"").get_parent()"
180,Tell me the parent document of Pricing Rule with id 008.,"frappe.get_doc(""Pricing Rule"", ""ID-008"").get_parent()"
182,Can you find the parent document of Contract having cust_001?,"frappe.get_doc(""Contract"", ""ID-001"").get_parent()"
183,"For Vital Signs with doc_006, what is the parent document?","frappe.get_doc(""Vital Signs"", ""ID-006"").get_parent()"
185,Can you provide the parent document for Job Applicant with order143012?,"frappe.get_doc(""Job Applicant"", ""ID-048"").get_parent()"
187,I need to know the parent document for Campaign identified by cam-041.,"frappe.get_doc(""Campaign"", ""ID-041"").get_parent()"
188,I need to know the parent document for Contract identified by ab3872.,"frappe.get_doc(""Contract"", ""ID-036"").get_parent()"
194,Can you find the parent document of Patient having doc_name 042?,"frappe.get_doc(""Patient"", ""ID-042"").get_parent()"
195,Can you provide the parent document for Contract with ty7527?,"frappe.get_doc(""Contract"", ""ID-032"").get_parent()"
200,I need to know the parent document for Opportunity identified by supp_023.,"frappe.get_doc(""Opportunity"", ""ID-023"").get_parent()"
201,Can you provide the parent document for Loan with order264386?,"frappe.get_doc(""Loan"", ""ID-034"").get_parent()"
202,Could you help me find the parent document linked to Project with order_043?,"frappe.get_doc(""Project"", ""ID-043"").get_parent()"
204,What is the parent document for the Course with 012_ID?,"frappe.get_doc(""Course"", ""ID-012"").get_parent()"
207,I need to know the parent document for Purchase Order identified by hd2286.,"frappe.get_doc(""Purchase Order"", ""ID-005"").get_parent()"
208,Can you provide the parent document for Loan with name 001?,"frappe.get_doc(""Loan"", ""ID-001"").get_parent()"
210,Tell me the parent document of Course with ref-036.,"frappe.get_doc(""Course"", ""ID-036"").get_parent()"
213,Could you help me find the parent document linked to Tax Rule with ref 046?,"frappe.get_doc(""Tax Rule"", ""ID-046"").get_parent()"
216,"For Prescription with cust_001, what is the parent document?","frappe.get_doc(""Prescription"", ""ID-001"").get_parent()"
218,Could you help me find the parent document linked to Project with cust_041?,"frappe.get_doc(""Project"", ""ID-041"").get_parent()"
219,Can you provide the parent document for Asset with entry 045?,"frappe.get_doc(""Asset"", ""ID-045"").get_parent()"
220,Tell me the parent document of Subscription with 017X.,"frappe.get_doc(""Subscription"", ""ID-017"").get_parent()"
222,What is the parent document for the Purchase Invoice with ref-048?,"frappe.get_doc(""Purchase Invoice"", ""ID-048"").get_parent()"
223,"For Purchase Order with ref 029, what is the parent document?","frappe.get_doc(""Purchase Order"", ""ID-029"").get_parent()"
226,Could you help me find the parent document linked to Supplier with prod178569?,"frappe.get_doc(""Supplier"", ""ID-048"").get_parent()"
227,Could you tell me the parent document of Payment Entry for 012_ID?,"frappe.get_doc(""Payment Entry"", ""ID-012"").get_parent()"
228,What is the parent document for the Course with record 028?,"frappe.get_doc(""Course"", ""ID-028"").get_parent()"
230,Could you help me find the parent document linked to Supplier with entry 007?,"frappe.get_doc(""Supplier"", ""ID-007"").get_parent()"
233,Could you tell me the parent document of Salary Slip for doc_008?,"frappe.get_doc(""Salary Slip"", ""ID-008"").get_parent()"
235,Can you find the parent document of Work Order having ref-021?,"frappe.get_doc(""Work Order"", ""ID-021"").get_parent()"
238,Can you provide the parent document for Purchase Invoice with pur-045?,"frappe.get_doc(""Purchase Invoice"", ""ID-045"").get_parent()"
239,What is the parent document for the Lead with 026_ID?,"frappe.get_doc(""Lead"", ""ID-026"").get_parent()"
241,Tell me the parent document of Instructor with instructor_046.,"frappe.get_doc(""Instructor"", ""ID-046"").get_parent()"
243,Could you help me find the parent document linked to Material Request with ty7463?,"frappe.get_doc(""Material Request"", ""ID-040"").get_parent()"
245,Could you tell me the parent document of Material Request for entry 029?,"frappe.get_doc(""Material Request"", ""ID-029"").get_parent()"
246,Could you help me find the parent document linked to Asset with name 005?,"frappe.get_doc(""Asset"", ""ID-005"").get_parent()"
248,Could you tell me the parent document of Pricing Rule for order_025?,"frappe.get_doc(""Pricing Rule"", ""ID-025"").get_parent()"
249,Can you provide the parent document for Work Order with 043_ID?,"frappe.get_doc(""Work Order"", ""ID-043"").get_parent()"
250,Could you tell me the parent document of Opportunity for opp-OPP-2024-678?,"frappe.get_doc(""Opportunity"", ""OPP-2024-678"").get_parent()"
251,"For Material Request with order747843, what is the parent document?","frappe.get_doc(""Material Request"", ""ID-039"").get_parent()"
256,Can you find the parent document of Purchase Invoice having entry 014?,"frappe.get_doc(""Purchase Invoice"", ""ID-014"").get_parent()"
257,"For Warranty Claim with order_027, what is the parent document?","frappe.get_doc(""Warranty Claim"", ""ID-027"").get_parent()"
258,Could you tell me the parent document of Salary Slip for name 030?,"frappe.get_doc(""Salary Slip"", ""ID-030"").get_parent()"
262,What is the parent document for the Vital Signs with supp_025?,"frappe.get_doc(""Vital Signs"", ""ID-025"").get_parent()"
263,I need to know the parent document for Meeting identified by name 004.,"frappe.get_doc(""Meeting"", ""ID-004"").get_parent()"
268,"For Contract with prod119940, what is the parent document?","frappe.get_doc(""Contract"", ""ID-024"").get_parent()"
273,Could you tell me the parent document of Material Request for record 025?,"frappe.get_doc(""Material Request"", ""ID-025"").get_parent()"
274,I need to know the parent document for Quotation identified by doc_040.,"frappe.get_doc(""Quotation"", ""ID-040"").get_parent()"
277,Could you tell me the parent document of Milestone for reference 034?,"frappe.get_doc(""Milestone"", ""ID-034"").get_parent()"
283,What is the parent document for the Invoice with inv-032?,"frappe.get_doc(""Invoice"", ""ID-032"").get_parent()"
285,What is the parent document for the Contract with ab3523?,"frappe.get_doc(""Contract"", ""ID-031"").get_parent()"
286,Can you find the parent document of Patient having patient_018?,"frappe.get_doc(""Patient"", ""ID-018"").get_parent()"
287,Tell me the parent document of BOM with supp_002.,"frappe.get_doc(""BOM"", ""ID-002"").get_parent()"
288,Could you tell me the parent document of Audit Report for doc_name 026?,"frappe.get_doc(""Audit Report"", ""ID-026"").get_parent()"
